N,City,State,Name,Address,Type,Food,Tourist Attraction,Museum,Park,Shopping,Entertainment,Accommodation,Government,Rating,Total Ratings,Status,Latitude,Longitude,Open Now,Price Level,Website,Local Phone,International Phone,Permanently Closed,Place ID,Viewport,Icon URL
29,New York City,New York,Comedy Cellar,"117 MacDougal Street, New York","Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.7,5150,OPERATIONAL,40.7302002,-74.0005639,1,3,No data,No data,No data,0,ChIJmzPYgJFZwokRg4zUwTlZwtI,"{'northeast': {'lat': 40.7315249302915, 'lng': -73.9991209697085}, 'southwest': {'lat': 40.7288269697085, 'lng': -74.0018189302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
30,New York City,New York,New Museum,"235 Bowery, New York","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.1,2534,CLOSED_TEMPORARILY,40.7223376,-73.9928905,0,3,No data,No data,No data,1,ChIJlaRS3IVZwokR2llMD6dCt-U,"{'northeast': {'lat': 40.7237331302915, 'lng': -73.9916742197085}, 'southwest': {'lat': 40.7210351697085, 'lng': -73.9943721802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
31,New York City,New York,The Mercury Lounge,"217 East Houston Street, New York","Night Club, Tourist Attraction, Bar, Point Of Interest, Establishment",1,1,0,0,0,1,0,0,4.5,1195,OPERATIONAL,40.7221676,-73.9867459,0,2,No data,No data,No data,0,ChIJQxzbx4NZwokRfWXvfisf3Eo,"{'northeast': {'lat': 40.7235821802915, 'lng': -73.9853601197085}, 'southwest': {'lat': 40.7208842197085, 'lng': -73.98805808029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png
32,New York City,New York,Solomon R. Guggenheim Museum,"1071 5th Avenue, New York","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.3,22375,OPERATIONAL,40.7829796,-73.9589706,0,No data,No data,No data,No data,0,ChIJmZ5emqJYwokRuDz79o0coAQ,"{'northeast': {'lat': 40.78443508029151, 'lng': -73.95776296970848}, 'southwest': {'lat': 40.78173711970851, 'lng': -73.9604609302915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
33,New York City,New York,The Morgan Library & Museum,"225 Madison Avenue, New York","Museum, Tourist Attraction, Library, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.7,4439,OPERATIONAL,40.7492258,-73.9813971,0,2,No data,No data,No data,0,ChIJ3453OAdZwokRja92OOKCugM,"{'northeast': {'lat': 40.7506534802915, 'lng': -73.98024706970848}, 'southwest': {'lat': 40.7479555197085, 'lng': -73.98294503029149}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
34,New York City,New York,Prospect Park Zoo,"450 Flatbush Avenue, Brooklyn","Zoo, Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.5,3748,CLOSED_TEMPORARILY,40.6642506,-73.9651138,0,No data,No data,No data,No data,1,ChIJnWjS-wRbwokRpCq5RGEIH3E,"{'northeast': {'lat': 40.66677209999999, 'lng': -73.96338451970848}, 'southwest': {'lat': 40.66341010000001, 'lng': -73.9660824802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
35,New York City,New York,Tenement Museum,"103 Orchard Street, New York","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.5,4698,OPERATIONAL,40.718818,-73.9900876,0,No data,No data,No data,No data,0,ChIJ20bVJYdZwokRhI7esP3mYM0,"{'northeast': {'lat': 40.7201394302915, 'lng': -73.98865071970849}, 'southwest': {'lat': 40.7174414697085, 'lng': -73.99134868029151}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
36,New York City,New York,Pier 54,United States,"Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.7,132,OPERATIONAL,40.7415481,-74.0099739,0,No data,No data,No data,No data,0,ChIJ7-JxocFZwokRC5WeLJsMfXk,"{'northeast': {'lat': 40.7428970802915, 'lng': -74.00862491970848}, 'southwest': {'lat': 40.7401991197085, 'lng': -74.0113228802915}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
37,New York City,New York,Liberty Science Center,"222 Jersey City Boulevard, Jersey City","Tourist Attraction, Museum, Point Of Interest, Establishment",0,1,1,0,0,0,0,0,4.5,8599,OPERATIONAL,40.7082308,-74.0546336,0,No data,No data,No data,No data,0,ChIJiQZDT8BQwokRfboQg91JUPY,"{'northeast': {'lat': 40.70933848029149, 'lng': -74.05368046970848}, 'southwest': {'lat': 40.70664051970849, 'lng': -74.05637843029149}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/museum-71.png
38,New York City,New York,Deutsche Bank Center,"10 Columbus Circle, New York","Landmark, Tourist Attraction, Point Of Interest, Establishment",0,1,0,0,0,0,0,0,4.5,3102,OPERATIONAL,40.7685068,-73.9831349,0,0,No data,No data,No data,0,ChIJ1-edm1hYwokRtqcmk66UT6g,"{'northeast': {'lat': 40.76995633029149, 'lng': -73.9814588}, 'southwest': {'lat': 40.76725836970849, 'lng': -73.98474839999999}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png
